nome_agenzia,zona,indirizzo,telefono,email,sito_web,persona_contatto,stato,data_ultimo_contatto,note
Tempocasa Bologna Savena,Savena,Via Bellaria 12/D,,,https://tempocasa.it/it/agenzie-immobiliari/bologna/bologna/199-bologna-savena-1,,da contattare,,Trovata tramite ricerca web (zona Savena). Agenzia affiliata Chi.Ari s.r.l.
Iconacasa Bologna Savena,Savena,Via Bellaria 1/d,,,https://www.iconacasa.com/index.php/agenzie/companyproperties/33-iconacasa-bologna-savena,,da contattare,,Trovata tramite ricerca web (zona Savena).
La Bottega Immobiliare,Savena,Via Mori 6 - Budrio (BO),051 5063689,,https://www.idealista.it/agenzie-immobiliari/bologna/savena/agenzie-immobiliari,,da contattare,,"Sede a Budrio, opera nel territorio di San Lazzaro di Savena e Bologna zona Savena. Tel. alt. 338 4568517."
Immobiliare San Lazzaro,San Lazzaro di Savena,Via Caselle 13,051 6275567,ufficio@immobiliaresanlazzaro.it,https://www.immobiliaresanlazzaro.it/,,da contattare,,WhatsApp +39 339 7759182. Telefono alternativo 051 6271468.
Tempocasa San Lazzaro di Savena,San Lazzaro di Savena,Via Emilia 166D,,,https://tempocasa.it/it/agenzie-immobiliari/bologna/san-lazzaro-di-savena/209-san-lazzaro-di-savena,Massimiliano Arixi,da contattare,,Diretta da Massimiliano Arixi con team di professionisti. Servizi di home staging e virtual tour.
Azienda Immobiliare San Lazzaro,San Lazzaro di Savena,Via Carlo Jussi 79,,,https://www.immobiliare.it/en/agenzie-immobiliari/175749/azienda-immobiliare-san-lazzaro-di-savena/,,da contattare,,Attiva dal 1987 nel territorio di San Lazzaro (oltre 30 anni di attivita').
Capital House Bologna - San Donato,San Donato,Via San Donato 33/E,051 5063834,bologna@capitalhouse.it,https://www.capitalhouse.it/bologna,Vilardo Valerio,da contattare,,WhatsApp +39 350 1864172. 93 immobili disponibili nel quartiere San Donato e limitrofi.
Agenzia San Donato (Claudio Ferro & C.),San Donato,Via San Donato 114,,,https://www.immobiliare.it/en/agenzie-immobiliari/27/agenzia-san-donato-bologna/,Claudio Ferro,da contattare,,Fondata nel 2011 da tre professionisti immobiliari con esperienza dal 1999.
Tecnocasa Studio San Donato,San Donato,Via San Donato 72/A,051 510107,,https://bologna4.tecnocasa.it/bologna/san-donato/,,da contattare,,"Tra le agenzie piu' consigliate zona San Donato. Tel. alt. 327 2228586. Orari: Lun-Ven 9-13/15-20, Sab 9-13."
Immobiliare San Pietro - Bologna San Donato,San Donato,Via Galeotti (zona),,,https://immobiliaresanpietro.it/agenzia/bologna-san-donato/,,da contattare,,Specializzata nella zona San Donato con proprieta' in Via Galeotti e Via Piana.
Iconacasa Bologna San Donato (Pilastro),San Donato / Pilastro,Via Ermanno Galeotti,,,https://www.immobiliare.it/en/vendita-appartamenti/bologna/pilastro/,,da contattare,,Copre anche la zona Pilastro. Indirizzo esatto da confermare sul sito Iconacasa.
Tinarelli Servizi Immobiliari,Pilastro (zona limitrofa),Via Licurgo Fava 421 - Medicina,051 850601,,https://www.immobiliare.it/en/agenzie-immobiliari/140617/tinarelli-medicina/,,da contattare,,"Sede a Medicina (BO), ma pubblica annunci e opera anche nella zona Pilastro di Bologna. Tel. alt. 335 6115140."
Tecnocasa Studio Castenaso,Castenaso,Via P. C. S. Nasica 55,051 789544,bohd1@tecnocasa.it,https://www.studiocastenaso.it/,,da contattare,,"Affiliata Tecnocasa dal 1990, team di 5 agenti + coordinatore. Orari: Lun-Ven 9-13/15-20, Sab 9-13."
Baraldi Immobiliare,Castenaso,Via Nasica 28,+39 328 5356349,info@baraldimmobiliare.it,https://www.baraldimmobiliare.it/,,da contattare,,Orari: mattina 9-13, pomeriggio 16-19:30, sabato solo su appuntamento.
Tempocasa Castenaso,Castenaso,Piazza Marie Curie,,,https://tempocasa.it/it/agenzie-immobiliari/bologna/castenaso/689-castenaso,,da contattare,,Trovata tramite ricerca web (Castenaso).
Rizzoli Servizi Immobiliari,Castenaso (Villanova),Via Tosarelli 203/D - Villanova di Castenaso,051 780088,,http://immobiliarerizzoli.it/,,da contattare,,"Oltre 20 anni di esperienza. Orari: Lun-Ven 9:00-12:30/14:30-18:30, Sab 9:00-12:20, chiuso domenica."
Immobili e Imprese,Castenaso,Via Tosarelli 300/B,051 781096,,https://www.casa.it/agenzie/immobili-e-imprese-184762/,,da contattare,,Specializzata in immobili commerciali/industriali, attiva dal 1994 - meno rilevante per residenziale ma segnalata in zona.
